                                Title: B2B billing analysis Spain      Country: Spain,,,,,,,,,,,,,,,,,,,,,,
                                Description: B2B analysis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
                                Period: Billing from 2010-07-01 to 2014-07-31,,,,,,,,,,,,,,,,,,,,,,
                                Run date: 01Aug2014,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country,Ctry code,Customer,Boarding date,Cust nbr,Inv nbr,Inv date,Due date,Inv tot amt,Revtype,Settled date,Pmt delay,Status,Rundate,Disputenumber,Status2,Startdate,Enddate,Dispreasoncode,Dispreasoncodedesc,Invdisputedate,Resdate,Paper / Electronic
Spain,838,BMS,2013-10-03,00056528,  FIG9505605,06-10-2011,05-11-2011,"52,370.48",GTS,10-11-2011,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9506250,10-11-2011,10-12-2011,"52,370.48",GTS,12-01-2012,33,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9507078,14-12-2011,13-01-2012,"52,370.48",GTS,19-01-2012,6,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9507264,21-12-2011,20-01-2012,701.30,GTS,26-01-2012,6,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9507497,28-12-2011,27-01-2012,"4,138.71",GTS,02-02-2012,6,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG1200187,12-01-2012,11-02-2012,"52,370.48",GTS,16-02-2012,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG1200416,26-01-2012,25-02-2012,"4,468.45",GTS,01-03-2012,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG1200727,06-02-2012,07-03-2012,"1,296.97",GTS,13-03-2012,6,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG1200776,09-02-2012,10-03-2012,"53,667.45",GTS,15-03-2012,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG1200973,22-02-2012,23-03-2012,"6,092.08",GTS,31-03-2012,8,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG1201424,07-03-2012,06-04-2012,"53,667.46",GTS,11-04-2012,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG1201569,21-03-2012,20-04-2012,"6,056.85",GTS,21-05-2012,31,Settled,31-07-2014,,,,,,,,,Paper invoice
